target,model,R2,MAE
mean_sleep_hrs,ElasticNet,0.08031052778970738,0.54303720280492
mean_sleep_hrs,RandomForest,0.08649068217352418,0.5414701852605797
mean_sleep_hrs,HistGBM,0.09853151304426278,0.5372547101760338
iqr_sleep_hrs,ElasticNet,0.15227352339297517,0.42087626660417765
iqr_sleep_hrs,RandomForest,0.15686682192850143,0.421130780594456
iqr_sleep_hrs,HistGBM,0.18406422478811768,0.4128651603046834
