,0
n_nights,0.18129334511222353
bmi,0.16182756316016034
female,0.14956130961727596
bmi_x_steps,0.09509422830381818
age_x_steps,0.0850242826013816
age,0.0837171607297782
hr_missing,0.04219661898757689
deprivation_index,0.03386468909576912
std_daily_steps,0.03316147577692046
mean_resting_hr,0.028775280152717075
mean_daily_steps,0.02411188380754033
drinks_per_week,0.022778393657125303
self_rated_health,0.022296848847860904
pct_active_days,0.018984745799438325
nonbinary,0.01612953217683221
ses_missing,0.0007994621769310819
steps_missing,0.0003831799966505139
current_smoker,0.0
