target,model,R2,MAE,N
mean_sleep_hrs,Ridge,0.07141830722451814,0.5462508138926281,53969
mean_sleep_hrs,Lasso,0.06984688327385324,0.5467576410316398,53969
mean_sleep_hrs,RandomForest,0.08481781099683228,0.5416787200998571,53969
iqr_sleep_hrs,Ridge,0.13607715670370546,0.424031808811373,53969
iqr_sleep_hrs,Lasso,0.12670184546729402,0.4270861915088832,53969
iqr_sleep_hrs,RandomForest,0.15894049196762616,0.41911281506820736,53969
